State,Year,Week,Cases,Percent
Washington,2017,48,70,0.0084885
West Virginia,2017,48,155,0.0187959
Wisconsin,2017,48,115,0.0139453
Wyoming,2017,48,68,0.0082459
Alabama,2017,49,1274,0.1544898
Alaska,2017,49,192,0.0232826
Arizona,2017,49,449,0.0544473
Arkansas,2017,49,156,0.0189171
California,2017,49,1230,0.1491542
Colorado,2017,49,379,0.0459589
Connecticut,2017,49,109,0.0132177
Delaware,2017,49,5,0.0006063
District of Columbia,2017,49,368,0.044625
Florida,2017,49,0,0
Georgia,2017,49,1568,0.1901413
Hawaii,2017,49,56,0.0067908
Idaho,2017,49,15,0.001819
Illinois,2017,49,957,0.1160492
Indiana,2017,49,127,0.0154005
Iowa,2017,49,47,0.0056994
Kansas,2017,49,175,0.0212211
Kentucky,2017,49,368,0.044625
Louisiana,2017,49,2661,0.3226824
Maine,2017,49,37,0.0044868
Maryland,2017,49,119,0.0144304
Massachusetts,2017,49,555,0.0673013
Michigan,2017,49,524,0.0635421
Minnesota,2017,49,153,0.0185533
Mississippi,2017,49,917,0.1111987
Missouri,2017,49,172,0.0208573
Montana,2017,49,4,0.0004851
Nebraska,2017,49,217,0.0263142
Nevada,2017,49,251,0.0304372
New Hampshire,2017,49,20,0.0024253
New Jersey,2017,49,724,0.0877948
New Mexico,2017,49,338,0.0409871
New York,2017,49,331,0.0401382
North Carolina,2017,49,340,0.0412296
North Dakota,2017,49,17,0.0020615
Ohio,2017,49,289,0.0350452
Oklahoma,2017,49,257,0.0311647
Oregon,2017,49,609,0.0738495
Pennsylvania,2017,49,825,0.1000424
Rhode Island,2017,49,106,0.0128539
South Carolina,2017,49,238,0.0288607
South Dakota,2017,49,220,0.026678
Tennessee,2017,49,123,0.0149154
Texas,2017,49,1672,0.2027527
Utah,2017,49,67,0.0081247
Vermont,2017,49,71,0.0086097
Virginia,2017,49,2050,0.2485903
Washington,2017,49,20,0.0024253
West Virginia,2017,49,160,0.0194022
Wisconsin,2017,49,146,0.0177045
Wyoming,2017,49,85,0.0103074
Alabama,2017,50,1737,0.2106348
Alaska,2017,50,204,0.0247378
Arizona,2017,50,866,0.1050142
Arkansas,2017,50,258,0.031286
California,2017,50,1630,0.1976596
Colorado,2017,50,436,0.0528709
Connecticut,2017,50,82,0.0099436
Delaware,2017,50,7,0.0008488
District of Columbia,2017,50,363,0.0440187
Florida,2017,50,0,0
Georgia,2017,50,1683,0.2040866
Hawaii,2017,50,40,0.0048505
Idaho,2017,50,7,0.0008488
Illinois,2017,50,1397,0.1694052
Indiana,2017,50,106,0.0128539
Iowa,2017,50,47,0.0056994
Kansas,2017,50,264,0.0320136
Kentucky,2017,50,522,0.0632996
Louisiana,2017,50,4045,0.4905111
Maine,2017,50,30,0.0036379
Maryland,2017,50,122,0.0147942
Massachusetts,2017,50,639,0.0774874
Michigan,2017,50,545,0.0660886
Minnesota,2017,50,157,0.0190384
Mississippi,2017,50,1498,0.1816528
Missouri,2017,50,203,0.0246165
Montana,2017,50,3,0.0003638
Nebraska,2017,50,298,0.0361365
Nevada,2017,50,406,0.049233
New Hampshire,2017,50,24,0.0029103
New Jersey,2017,50,826,0.1001637
New Mexico,2017,50,383,0.0464439
New York,2017,50,347,0.0420785
North Carolina,2017,50,305,0.0369854
North Dakota,2017,50,21,0.0025465
Ohio,2017,50,262,0.0317711
Oklahoma,2017,50,458,0.0555387
Oregon,2017,50,854,0.1035591
Pennsylvania,2017,50,850,0.103074
Rhode Island,2017,50,79,0.0095798
South Carolina,2017,50,242,0.0293458
South Dakota,2017,50,209,0.0253441
Tennessee,2017,50,207,0.0251016
Texas,2017,50,2764,0.3351725
Utah,2017,50,74,0.0089735
Vermont,2017,50,89,0.0107925
Virginia,2017,50,2231,0.270539
Washington,2017,50,25,0.0030316
West Virginia,2017,50,321,0.0389256
Wisconsin,2017,50,126,0.0152792
Wyoming,2017,50,94,0.0113988
Alabama,2017,51,3116,0.3778573
Alaska,2017,51,208,0.0252228
Arizona,2017,51,973,0.1179895
Arkansas,2017,51,375,0.0454738
California,2017,51,2050,0.2485903
Colorado,2017,51,546,0.0662099
Connecticut,2017,51,54,0.0065482
Delaware,2017,51,13,0.0015764
District of Columbia,2017,51,296,0.035894
Florida,2017,51,0,0
Georgia,2017,51,2199,0.2666586
Hawaii,2017,51,67,0.0081247
Idaho,2017,51,24,0.0029103
Illinois,2017,51,1956,0.2371915
Indiana,2017,51,159,0.0192809
Iowa,2017,51,51,0.0061844
Kansas,2017,51,395,0.0478991
Kentucky,2017,51,1007,0.1221124
Louisiana,2017,51,5981,0.7252774
Maine,2017,51,35,0.0042442
Maryland,2017,51,161,0.0195234
Massachusetts,2017,51,719,0.0871885
Michigan,2017,51,579,0.0702116
Minnesota,2017,51,177,0.0214637
Mississippi,2017,51,2426,0.2941854
Missouri,2017,51,278,0.0337113
Montana,2017,51,2,0.0002425
Nebraska,2017,51,379,0.0459589
Nevada,2017,51,479,0.0580852
New Hampshire,2017,51,22,0.0026678
New Jersey,2017,51,907,0.1099861
New Mexico,2017,51,575,0.0697266
New York,2017,51,445,0.0539623
North Carolina,2017,51,214,0.0259504
North Dakota,2017,51,68,0.0082459
Ohio,2017,51,363,0.0440187
Oklahoma,2017,51,532,0.0645122
Oregon,2017,51,1397,0.1694052
Pennsylvania,2017,51,1015,0.1230825
Rhode Island,2017,51,70,0.0084885
South Carolina,2017,51,328,0.0397744
South Dakota,2017,51,277,0.03359
Tennessee,2017,51,329,0.0398957
Texas,2017,51,3938,0.4775359
Utah,2017,51,143,0.0173407
Vermont,2017,51,63,0.0076396
Virginia,2017,51,2749,0.3333535
Washington,2017,51,39,0.0047293
West Virginia,2017,51,440,0.053356
